,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
0,Afghanistan,33.0,65.0,1/22/20,0,0,0
1,Albania,41.1533,20.1683,1/22/20,0,0,0
2,Algeria,28.0339,1.6596,1/22/20,0,0,0
3,Andorra,42.5063,1.5218,1/22/20,0,0,0
4,Angola,-11.2027,17.8739,1/22/20,0,0,0
5,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0
6,Argentina,-38.4161,-63.6167,1/22/20,0,0,0
7,Armenia,40.0691,45.0382,1/22/20,0,0,0
8,Australia,-255.9695,1129.8623,1/22/20,0,0,0
9,Austria,47.5162,14.5501,1/22/20,0,0,0
10,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0
11,Bahamas,25.0343,-77.3963,1/22/20,0,0,0
12,Bahrain,26.0275,50.55,1/22/20,0,0,0
13,Bangladesh,23.685,90.3563,1/22/20,0,0,0
14,Barbados,13.1939,-59.5432,1/22/20,0,0,0
15,Belarus,53.7098,27.9534,1/22/20,0,0,0
16,Belgium,50.8333,4.0,1/22/20,0,0,0
17,Belize,13.1939,-59.5432,1/22/20,0,0,0
18,Benin,9.3077,2.3158,1/22/20,0,0,0
19,Bhutan,27.5142,90.4336,1/22/20,0,0,0
20,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0
21,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0
22,Botswana,-22.3285,24.6849,1/22/20,0,0,0
23,Brazil,-14.235,-51.9253,1/22/20,0,0,0
24,Brunei,4.5353,114.7277,1/22/20,0,0,0
25,Bulgaria,42.7339,25.4858,1/22/20,0,0,0
26,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0
27,Burma,21.9162,95.956,1/22/20,0,0,0
28,Burundi,-3.3731,29.9189,1/22/20,0,0,0
29,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0
30,Cambodia,11.55,104.9167,1/22/20,0,0,0
31,Cameroon,3.8480000000000003,11.5021,1/22/20,0,0,0
32,Canada,671.7607,-1237.6289,1/22/20,0,0,0
33,Central African Republic,6.6111,20.9394,1/22/20,0,0,0
34,Chad,15.4542,18.7322,1/22/20,0,0,0
35,Chile,-35.6751,-71.543,1/22/20,0,0,0
36,China,1107.0367,3805.4197000000004,1/22/20,95,1,2
37,Colombia,4.5709,-74.2973,1/22/20,0,0,0
38,Comoros,-11.6455,43.3333,1/22/20,0,0,0
39,Congo (Brazzaville),-4.0383,21.7587,1/22/20,0,0,0
40,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0
41,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0
42,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0,0
