,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
40,Anhui,China,31.8257,117.2264,0,0,0,0,0,0,2,0,1,2,2,7,6,3,11,13,12,13,16,17,22,30,36,28,34,25,81,52,61,65,58,40,26,49,32,48,29,47,5,44,19,20,14,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,Beijing,China,40.1824,116.4142,0,1,1,0,0,2,0,0,1,4,0,3,11,1,7,2,1,3,7,4,8,13,11,18,10,6,8,23,8,16,9,11,9,17,20,13,9,14,5,6,6,9,0,2,4,5,7,5,6,8,8,7,4,7,9,9,2,10,6,4,0,1,2,3,2,2,2,3,3,0,6,10,4,3,2,5,7,9,5,5,5,5,7,4,8,6,0,1,4,2,2,6,1,0,0,11,2,4,5,0
42,Chongqing,China,30.0572,107.874,0,0,0,0,0,0,1,0,0,2,4,2,0,6,9,7,8,12,15,13,23,26,24,32,23,18,29,20,25,17,12,7,14,23,12,17,21,16,12,19,21,12,10,1,13,1,15,5,7,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
43,Fujian,China,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,1,2,8,3,6,4,11,4,6,8,4,6,8,11,8,3,19,14,23,13,8,13,16,19,10,7,8,4,8,5,10,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,0,3,0,3,6,4,4,4,2,2,1,2,3,0,2,1,4,3,0,0,0,3,1,0,0
44,Gansu,China,37.8099,101.0583,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,3,4,1,7,7,8,0,10,5,4,4,3,6,5,0,2,2,0,1,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,7,15,1,0,5,0,2,2,2,0,0,0,2,0,0,4,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Guangdong,China,23.3417,113.4244,2,0,0,0,2,0,1,5,1,3,1,6,9,19,20,19,24,29,26,45,63,39,48,48,55,59,41,41,36,48,38,27,31,36,29,39,45,48,33,43,42,32,48,35,21,19,4,14,8,7,7,3,5,2,1,6,5,5,2,4,3,1,3,0,1,4,8,2,5,1,8,3,10,9,8,6,10,12,11,3,6,11,4,4,9,4,7,8,4,7,10,17,6,8,0,5,7,3,8,0
46,Guangxi,China,23.8298,108.7881,0,0,0,0,0,2,0,0,0,0,0,5,3,3,1,3,0,1,6,9,-1,1,3,8,5,4,16,17,4,7,7,2,6,22,13,14,7,8,5,11,10,8,4,3,1,5,7,4,4,3,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Guizhou,China,26.8154,106.8748,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-3,0,1,0,3,7,1,9,1,13,5,11,9,4,2,5,13,12,0,2,0,8,0,0,0,2,0,0,0,0,1,2,6,6,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Hainan,China,19.1959,109.7453,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,2,4,5,0,1,7,3,13,-4,13,7,20,5,2,9,9,2,10,8,5,2,2,15,1,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Hebei,China,39.549,116.1306,0,0,0,0,0,0,0,0,0,0,3,0,1,2,7,9,8,4,7,7,6,14,19,14,4,17,14,16,17,15,19,16,15,14,13,13,3,5,12,2,4,1,3,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50,Heilongjiang,China,47.862,127.7615,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,4,1,1,16,-2,3,2,14,21,11,6,26,9,16,39,29,18,5,16,6,21,13,18,41,14,10,7,6,17,7,9,18,4,2,5,5,1,6,2,1,3,1,3,0,3,-1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,4,6,23,3,45,30,1,0,0,18
51,Henan,China,33.882,113.614,0,0,0,0,0,0,1,1,1,0,7,6,11,20,9,30,30,37,38,27,28,50,61,34,49,69,13,51,64,99,94,38,75,59,31,35,44,58,28,7,26,3,5,5,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Hong Kong,China,22.3,114.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,-1,1,5,8,0,5,0,6,3,3,0,1,0,6,3,5,7,1,6,0,2,10,1,3,3,4,4,3,3,0,2,0,1,1,8,0,2,0,11,5,19,0,26,0,33,10,0,48,29,16,27,24,0,74,25,26,48,35,34,28,20,28,21,26,28,19,15,24,19,16,13
53,Hubei,China,30.9756,112.2707,0,3,1,10,3,35,8,2,51,27,127,91,136,111,184,298,324,356,427,417,47,773,1315,849,1016,1223,1266,1209,1451,93,3418,44,1405,2223,1998,2414,3020,2590,2543,2398,2274,2349,2035,1441,1467,1735,1253,1255,1391,1184,1235,1407,1328,854,861,924,755,700,564,487,446,445,487,390,531,366,472,319,264,173,145,141,150,183,69,59,69,45,49,28,17,57,25,39,33,-948,7,13,4,3,5,50,24,11,12,0,0,0,0,0
54,Hunan,China,27.6104,111.7088,0,0,0,0,0,0,0,2,0,6,8,6,9,23,27,31,44,30,22,39,57,35,25,61,39,34,29,34,73,27,31,22,17,37,15,21,26,16,20,21,19,10,22,17,5,8,11,11,5,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Inner Mongolia,China,44.0935,113.9448,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,2,6,1,9,1,7,1,3,5,2,4,3,2,5,4,2,0,2,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,3,0,9,1,0,0,4,0,0,6,7,8,16,1,4,2,2
56,Jiangsu,China,32.9711,119.455,0,0,1,0,0,0,0,0,4,1,1,1,4,11,11,9,8,20,10,12,32,14,18,29,32,40,22,38,38,17,28,17,34,6,20,20,17,8,13,7,19,15,6,11,12,6,9,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,3,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,2,0
57,Jiangxi,China,27.614,115.7221,0,0,0,0,2,1,0,2,2,2,3,6,2,7,10,8,10,18,32,23,24,18,17,23,30,35,35,52,71,56,66,58,32,38,36,35,36,21,20,19,20,14,17,8,7,3,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Jilin,China,43.6661,126.1923,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,8,1,5,4,2,1,1,4,4,2,1,6,2,7,2,6,3,2,2,6,2,3,5,0,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1
59,Liaoning,China,41.2956,122.6085,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,1,4,1,6,1,2,7,2,9,3,10,2,4,2,5,7,7,3,5,5,0,3,7,0,3,0,0,0,1,2,0,2,0,1,0,1,1,1,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,1,3,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
60,Macau,China,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,3,2,2,2,1,0,1,3,1,1,1,1,0
